_rank|_name|_score|_link|Background|Eyes|Eyewear|Face Accessory|Friend|Hair|Mouth|Outfit|Skin|Special Adventurer|Weapon
109|Sobta Magic #439|175.1945773652547|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/439|Common - Cotton Candy|Happy|Red Glasses|Pain Relief Patch|Alpha|Black Bucket Hat|Grumpy|Docter Suit|Milk Skin||Wrench
110|Sobta Magic #350|175.14917847844478|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/350|Common - Lemon|Normal|Gold Glasses|None|Poppo|Pink Side Braid|Bread|White Overalls|Vanilla Ape||Lollipop
111|Sobta Magic #18|174.81632733078789|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/18|Common - Taro Milk|Wink|None|Star Sticker|Poppo|Captain Boy|Smirk|Barista Suit|Vanilla Ape||Sketch Board
112|Sobta Magic #104|174.15094242924616|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/104|Common - Lemon|Happy|Digital Glasses|Rainbow Sticker|None|Red Helmet|Tongue Out|Denim Shirt|Lava Mutant||Bunching Onion
113|Sobta Magic #366|173.83776691995232|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/366|Common - Cookie|Sad|None|Pain Relief Patch|Jojo|Orange Side Braid|O Mouth|School Uniform|Fire Cyborg||Guitar
114|Sobta Magic #526|173.58526507278017|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/526|Rare - Cybertron|Angry|None|None|Volcan|Blonde Dreadlocks|Grin|School Uniform|Milk Tea Skin||Guitar
115|Sobta Magic #527|173.01751168643327|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/527|Common - Peach|Surprised|None|None|Marine|Black Comma|Strawberry Stick|Black Overalls|Almond Skin||Boomerang
116|Sobta Magic #223|172.72149630625222|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/223|Common - Taro Milk|Sad|Digital Glasses|Star Sticker|None|Black Dreadlocks|Triangle|Sailor Suit|Milk Tea Skin||Carrot
117|Sobta Magic #541|172.2311565646744|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/541|Rare - Morest|Surprised|Sunglasses|None|Volcan|Red Helmet|Triangle|Sailor Suit|Almond Skin||Wrench
118|Sobta Magic #554|171.501165575097|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/554|Common - Lemon|Fascinated|Digital Glasses|None|None|White Bucket Hat|Grin|White T-Shirt|Earth Mutant||Coffee Cup
119|Sobta Magic #299|170.96156316118547|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/299|Common - Lemonade|Normal|Red Glasses|None|Florae|White Bubble|Smirk|White T-Shirt|Lava Mutant||Scythe
120|Sobta Magic #347|170.85905583672098|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/347|Common - Charcoal|Wink|None|Pain Relief Patch|Marine|Black Dreadlocks|Tongue Out|Yellow T-Shirt|Honey Skin||Carrot
121|Sobta Magic #427|170.68601064214027|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/427|Common - Cookie|Angry|Red Glasses|None|Kabo|Black Bucket Hat|Bubble Gum|White T-Shirt|Earth Mutant||Nature Staff
122|Sobta Magic #213|170.15547911625265|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/213|Common - Taro Milk|Surprised|Diamond Glasses|None|None|Brown Bubble|Choco Donut|White Overalls|Milk Tea Skin||Scythe
123|Sobta Magic #285|169.77920129348|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/285|Common - Sky|Sad|Diamond Glasses|None|Miw Miw|Brown Spiky|Grin|Sailor Suit|Honey Skin||Baseball Bat
