_rank|📈|_name|_score|_link|Background|Eyes|Eyewear|Face Accessory|Friend|Hair|Mouth|Outfit|Skin|Special Adventurer|Weapon
1|🔵|Sobta Magic #272|1067.95|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/272|Epic - Magic Cafe||||NUMBERS GANGSTER|||||NUMBERS GANGSTER|
1|🟡|Sobta Magic #759|1067.95|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/759|Epic - Magic Cafe||||YOKEiTO|||||YOKEiTO|
3|🔴-1|Sobta Magic #482|1021.8928571428571|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/482|Epic - Magic Cafe||||Grekka|||||Grekka|
3|🟡|Sobta Magic #738|1021.8928571428571|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/738|Epic - Magic Cafe||||Little Magic School|||||Little Magic School|
5|🟢+1|Sobta Magic #399|966.0687681588498|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/399|Rare - Day Dream|Happy|None|Tattoo|HUUYAOW|Red Helmet|Strawberry Stick|School Uniform|Espresso Skin||Nature Staff
6|🔴-3|Sobta Magic #189|940.3333333333334|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/189|Epic - Magic Cafe||||Alpha|||||Titan Cyborg|
7|🟡|Sobta Magic #805|937.75|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/805|Epic - Magic Cafe||||Miw Miw|||||Galaxy Traveller|
8|🟡|Sobta Magic #631|935.5357142857142|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/631|Epic - Magic Cafe||||Florae|||||World Tree|
9|🔴-4|Sobta Magic #210|933.6166666666667|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/210|Epic - Magic Cafe||||Jojo|||||Monkey King|
10|🔴-2|Sobta Magic #442|576.3786344497299|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/442|Rare - Night Dream|Bored|None|Star Sticker|Analog Doll|Blonde Palm Tree|O Mouth|Sci-Fi Suit|Aqua Mutant||Fountain Pen
11|🟢+1|Sobta Magic #288|540.9508061986322|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/288|Rare - Earth|Fascinated|Heart Glasses|None|Analog Doll|Black Comma|Triangle|Barista Suit|Honey Skin||Wrench
12|🔴-3|Sobta Magic #317|372.5774062668453|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/317|Rare - Night Dream|Surprised|None|Star Sticker|Alpaca Chill|White Bubble|Grin|Docter Suit|Espresso Skin||Carrot
13|🔴-6|Sobta Magic #205|367.9251990571256|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/205|Rare - Morest|Surprised|Scounter|None|YOKEiTO|Blue Helmet|Wafer Roll|Pink Overalls|Fire Cyborg||Baseball Bat
14|🟡|Sobta Magic #618|362.17149926976043|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/618|Rare - Night Dream|Bored|Red Glasses|Tattoo|Pony Cat|Blue Double Braid|Wafer Roll|School Uniform|Honey Skin||Fountain Pen
15|🟡|Sobta Magic #710|361.7564485363617|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/710|Rare - Day Dream|Wink|None|Plaster|Pony Cat|Green Light Undercut|Open Smile|Sci-Fi Suit|Milk Tea Skin||Baseball Bat
16|🔴-5|Sobta Magic #448|358.23812781315706|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/448|Rare - Cybertron|Sad|None|Star Sticker|Pony Cat|Black Bucket Hat|Tongue Out|Hoodie|Almond Skin||Bunching Onion
17|🔴-7|Sobta Magic #555|356.8747295210642|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/555|Rare - Earth|Normal|None|None|Alpaca Chill|Black Bucket Hat|Lollipop|Black Overalls|Fire Cyborg||Wrench
18|🟡|Sobta Magic #647|355.5043760751903|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/647|Rare - Night Dream|Angry|Red Glasses|Pain Relief Patch|Alpaca Chill|Blonde Palm Tree|Choco Donut|Yellow T-Shirt|Earth Mutant||Squeaky Hammer
19|🟡|Sobta Magic #601|349.935874184077|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/601|Rare - Morest|Surprised|None|None|Alpaca Chill|White Bubble|O Mouth|Sailor Suit|Milk Skin||Guitar
20|🔴-6|Sobta Magic #327|324.67578874512276|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/327|Rare - Day Dream|Angry|Red Glasses|None|Pony Cat|Blue Helmet|Tongue Out|Barista Suit|Honey Skin||Wrench
21|🟡|Sobta Magic #722|320.79287315242823|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/722|Rare - Morest|Sad|None|Plaster|YOKEiTO|Blue Helmet|Open Smile|Denim Shirt|Chocolate Skin||Guitar
22|🟡|Sobta Magic #787|318.68363577627576|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/787|Rare - Day Dream|Fascinated|Red Glasses|None|NUMBERS GANGSTER|Pink Inverted Bob|Wafer Roll|Black Jacket|Chocolate Skin||Fire Staff
23|🔴-5|Sobta Magic #53|318.4057757540403|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/53|Rare - Earth|Normal|Scounter|Plaster|My Eyes|Blonde-Brown Man Bun|Tongue Out|Yellow T-Shirt|Caramel Ape||Guitar
24|🔴-4|Sobta Magic #271|313.88442589961124|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/271|Rare - Earth|Surprised|Sunglasses|Tattoo|My Eyes|Orange Spiky|Smirk|White T-Shirt|Vanilla Ape||Nature Staff
25|🟡|Sobta Magic #806|307.87902423240604|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/806|Rare - Night Dream|Bored|Sunglasses|Pain Relief Patch|Little Magic School|Orange Spiky|Rose|Docter Suit|Honey Skin||Carrot
26|🟡|Sobta Magic #607|302.6668949057436|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/607|Rare - Earth|Happy|Red Glasses|Rainbow Sticker|My Eyes|Brown Bubble|Open Smile|White T-Shirt|Milk Skin||Fire Staff
27|🔴-4|Sobta Magic #479|297.51886882342393|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/479|Rare - Night Dream|Angry|None|Plaster|NUMBERS GANGSTER|Blonde Palm Tree|Grumpy|Black Jacket|Earth Mutant||Wrench
28|🔴-1|Sobta Magic #148|296.00442569615336|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/148|Rare - Day Dream|Surprised|None|None|NUMBERS GANGSTER|Brown Bubble|Wafer Roll|White Overalls|Vanilla Ape||Sketch Board
29|🔴-13|Sobta Magic #149|292.0034732955234|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/149|Rare - Day Dream|Wink|None|Star Sticker|GINGA|Brown Palm Tree|Lollipop|Black Overalls|Espresso Skin||Laser Gun
30|🔴-17|Sobta Magic #499|291.21681810111244|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/499|Rare - Earth|Bored|Red Glasses|Pain Relief Patch|YOKEiTO|Captain Girl|Triangle|White T-Shirt|Milk Tea Skin||Guitar
31|🔴-16|Sobta Magic #230|290.6558519247452|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/230|Rare - Day Dream|Sad|None|None|GINGA|Brown Bubble|Smile|Business Suit|Ice Cyborg||Nature Staff
32|🔴-6|Sobta Magic #286|290.30699142310937|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/286|Rare - Earth|Angry|None|None|NUMBERS GANGSTER|Red Ponytail|Wafer Roll|White Overalls|Aqua Mutant||Wrench
33|🔴-9|Sobta Magic #550|290.01250836458854|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/550|Rare - Apezilon|Normal|Sunglasses|None|My Eyes|Blue Hime Cut|Grumpy|White Overalls|Milk Skin||Boomerang
34|🟡|Sobta Magic #562|289.32618995520835|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/562|Rare - Apezilon|Sad|Heart Glasses|Plaster|Little Magic School|Orange Hime Cut|Smile|Black Overalls|Earth Mutant||Fountain Pen
35|🔴-10|Sobta Magic #170|289.0067324067225|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/170|Rare - Apezilon|Wink|Sunglasses|None|Grekka|Red Helmet|Grin|White T-Shirt|Earth Mutant||Nature Staff
36|🔴-15|Sobta Magic #120|282.65287706756396|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/120|Rare - Apezilon|Normal|None|Star Sticker|Grekka|Captain Boy|Leaf|Fur Jacket|Vanilla Ape||Wrench
37|🔴-33|Sobta Magic #532|282.19144445210515|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/532|Rare - Earth|Normal|None|Plaster|Little Magic School|Brown Spiky|Wafer Roll|Sci-Fi Suit|Honey Skin||Bunching Onion
38|🔴-8|Sobta Magic #405|279.16565195160763|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/405|Rare - Morest|Happy|None|None|My Eyes|Blue Helmet|Grumpy|White T-Shirt|Milk Tea Skin||Boomerang
39|🔴-22|Sobta Magic #377|274.35485276006955|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/377|Rare - Apezilon|Normal|Digital Glasses|Pain Relief Patch|Marine|Orange Hime Cut|Leaf|Aloha Shirt|Almond Skin||Guitar
40|🟡|Sobta Magic #681|272.65188089950107|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/681|Rare - Day Dream|Angry|None|None|YOKEiTO|Pink Side Braid|Tongue Out|Hoodie|Honey Skin||Baseball Bat
41|🟡|Sobta Magic #574|271.9031873235512|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/574|Rare - Morest|Sad|None|Tattoo|GINGA|Blonde Palm Tree|Smile|White T-Shirt|Caramel Ape||Wrench
42|🔴-10|Sobta Magic #38|268.79267534098045|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/38|Rare - Night Dream|Angry|None|None|My Eyes|Black Comma|Grumpy|Hoodie|Aqua Mutant||Lollipop
43|🟡|Sobta Magic #620|267.23869768894946|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/620|Rare - Cybertron|Happy|None|None|Little Magic School|Pink Side Braid|Smirk|Black Jacket|Honey Skin||Baseball Bat
44|🔴-16|Sobta Magic #316|266.6486811885888|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/316|Rare - Day Dream|Angry|Red Glasses|Pain Relief Patch|Grekka|Orange Hime Cut|Strawberry Stick|Sailor Suit|Vanilla Ape||Baseball Bat
45|🟡|Sobta Magic #614|265.7055781957506|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/614|Rare - Night Dream|Fascinated|Gold Monocle|None|Little Magic School|Blonde-Brown Man Bun|Bread|Hoodie|Vanilla Ape||Bunching Onion
46|🟡|Sobta Magic #781|264.034942314657|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/781|Rare - Earth|Normal|None|Tattoo|GINGA|White Undercut|Bubble Gum|White Overalls|Almond Skin||Boomerang
47|🔴-28|Sobta Magic #78|263.6154268735386|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/78|Rare - Day Dream|Fascinated|Heart Glasses|Sobta Sticker|GINGA|Blonde-Brown Man Bun|Grumpy|White Overalls|Espresso Skin||Carrot
48|🟡|Sobta Magic #585|262.84338996048876|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/585|Rare - Day Dream|Angry|Sunglasses|Plaster|GINGA|Blonde Palm Tree|Bread|Yellow T-Shirt|Vanilla Ape||Carrot
49|🔴-27|Sobta Magic #91|262.6413292759907|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/91|Rare - Day Dream|Normal|Sunglasses|Plaster|GINGA|White Bucket Hat|Choco Donut|White Overalls|Vanilla Ape||Bunching Onion
50|🔴-16|Sobta Magic #348|260.1127312499893|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/348|Rare - Night Dream|Fascinated|Sunglasses|None|Grekka|Black Dreadlocks|Grin|Fur Jacket|Honey Skin||Baseball Bat
51|🔴-16|Sobta Magic #175|259.72188016935587|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/175|Rare - Day Dream|Normal|None|None|Grekka|Captain Girl|Wafer Roll|Sci-Fi Suit|Honey Skin||Baseball Bat
52|🔴-21|Sobta Magic #21|254.65103192810056|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/21|Rare - Earth|Wink|Digital Glasses|Pain Relief Patch|Miw Miw|Pink Inverted Bob|Leaf|Black Jacket|Chocolate Skin||Coffee Cup
53|🟡|Sobta Magic #619|253.83287613068944|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/619|Rare - Apezilon|Normal|Digital Glasses|None|Kabo|Captain Boy|Rose|School Uniform|Chocolate Skin||Squeaky Hammer
54|🟡|Sobta Magic #575|251.5944070019023|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/575|Rare - Morest|Sad|Digital Glasses|Pain Relief Patch|Alpha|Green Comma|Choco Donut|Black Overalls|Earth Mutant||Bunching Onion
55|🟡|Sobta Magic #743|250.41132736122435|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/743|Rare - Earth|Surprised|None|Pain Relief Patch|Little Magic School|Red Helmet|Open Smile|Black Overalls|Aqua Mutant||Boomerang
56|🟡|Sobta Magic #678|249.15599403895158|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/678|Rare - Earth|Angry|Sunglasses|Pain Relief Patch|Grekka|Black Bucket Hat|O Mouth|Hoodie|Espresso Skin||Boomerang
57|🟡|Sobta Magic #726|246.62491424294674|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/726|Rare - Night Dream|Surprised|None|Rainbow Sticker|Volcan|Orange Hime Cut|O Mouth|Denim Shirt|Ice Cyborg||Scythe
58|🔴-25|Sobta Magic #488|244.9979337733821|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/488|Rare - Morest|Wink|Red Glasses|Rainbow Sticker|Kabo|Blonde Dreadlocks|Smile|Adventure Suit|Earth Mutant||Squeaky Hammer
59|🔴-23|Sobta Magic #462|233.26788112740925|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/462|Common - Sky|Angry|Digital Glasses|None|Marine|White Bubble|Smirk|White T-Shirt|Almond Skin||Fire Staff
60|🔴-31|Sobta Magic #184|228.21161838551902|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/184|Rare - Morest|Bored|Diamond Glasses|None|Alpha|Orange Hime Cut|Open Smile|Docter Suit|Milk Tea Skin||Guitar
61|🔴-11|Sobta Magic #310|225.93138231206254|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/310|Rare - Cybertron|Angry|Red Glasses|Rainbow Sticker|Poppo|Blonde Dreadlocks|Open Smile|White T-Shirt|Milk Tea Skin||Sketch Board
62|🟡|Sobta Magic #560|225.61186550416085|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/560|Rare - Day Dream|Surprised|Gold Glasses|Star Sticker|Marine|Black Dreadlocks|O Mouth|Denim Shirt|Earth Mutant||Water Staff
63|🔴-16|Sobta Magic #54|224.48012933882498|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/54|Common - Taro Milk|Bored|Digital Glasses|Rainbow Sticker|Volcan|Brown Bubble|Leaf|Black Jacket|Honey Skin||Squeaky Hammer
64|🔴-16|Sobta Magic #383|221.1836393092624|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/383|Rare - Morest|Fascinated|Heart Glasses|Tattoo|Jojo|White Bucket Hat|Smile|Pink Overalls|Milk Skin||Laser Gun
65|🔴-28|Sobta Magic #404|220.4013408225054|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/404|Rare - Earth|Angry|Red Glasses|Star Sticker|Alpha|Black Bucket Hat|Lollipop|Sci-Fi Suit|Lava Mutant||Boomerang
66|🔴-28|Sobta Magic #236|219.5185179715532|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/236|Common - Sky|Fascinated|Scounter|Tattoo|None|Pink Side Braid|Lollipop|Adventure Suit|Earth Mutant||Coffee Cup
67|🟡|Sobta Magic #654|215.75211711863182|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/654|Rare - Apezilon|Wink|Gold Monocle|Plaster|Kabo|White Undercut|Triangle|Business Suit|Lava Mutant||Fountain Pen
68|🟡|Sobta Magic #735|215.0119399596394|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/735|Common - Sky|Sad|None|Sobta Sticker|Volcan|Brown Palm Tree|Bubble Gum|Sci-Fi Suit|Ice Cyborg||Bunching Onion
69|🔴-18|Sobta Magic #192|214.60892166909957|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/192|Rare - Cybertron|Sad|Gold Monocle|None|Jojo|Pink Side Braid|Choco Donut|Fur Jacket|Milk Tea Skin||Coffee Cup
70|🔴-7|Sobta Magic #240|212.705912931816|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/240|Common - Sky|Happy|Heart Glasses|Sobta Sticker|Poppo|Blonde Double Braid|Choco Donut|School Uniform|Espresso Skin||Laser Gun
71|🟡|Sobta Magic #717|212.28400303506473|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/717|Common - Sunset|Happy|Sunglasses|None|Jojo|Orange Hime Cut|Smile|Adventure Suit|Aqua Mutant||Scythe
72|🔴-31|Sobta Magic #369|212.17283561666562|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/369|Rare - Night Dream|Sad|None|Sobta Sticker|Kabo|Blue Messy|Wafer Roll|Sailor Suit|Honey Skin||Nature Staff
73|🔴-34|Sobta Magic #467|210.16958273246786|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/467|Common - Charcoal|Bored|Scounter|Tattoo|Florae|Captain Boy|Leaf|School Uniform|Almond Skin||Coffee Cup
74|🔴-31|Sobta Magic #203|207.25575445960695|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/203|Rare - Apezilon|Angry|Scounter|None|Volcan|Brown Bubble|Tongue Out|Barista Suit|Almond Skin||Baseball Bat
75|🔴-15|Sobta Magic #556|206.58750725542103|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/556|Rare - Cybertron|Normal|Gold Glasses|Star Sticker|Miw Miw|Black Comma|O Mouth|Aloha Shirt|Milk Tea Skin||Wrench
76|🔴-9|Sobta Magic #55|204.78884648883593|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/55|Common - Lemon|Sad|Scounter|Sobta Sticker|None|Black Comma|Lollipop|School Uniform|Caramel Ape||Syringe
77|🔴-25|Sobta Magic #185|204.45039228765643|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/185|Rare - Earth|Normal|Heart Glasses|None|Marine|Brown Bubble|Leaf|Fur Jacket|Lava Mutant||Bunching Onion
78|🔴-36|Sobta Magic #173|203.10837621096|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/173|Rare - Earth|Happy|None|None|Florae|Red Ponytail|Grin|Yellow T-Shirt|Ice Cyborg||Water Staff
79|🟢+4|Sobta Magic #298|202.91767925438023|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/298|Rare - Cybertron|Wink|None|Pain Relief Patch|Alpha|Brown Palm Tree|Smirk|Barista Suit|Lava Mutant||Coffee Cup
80|🟢+6|Sobta Magic #465|202.55204203244267|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/465|Rare - Cybertron|Normal|None|Pain Relief Patch|Florae|Blonde Dreadlocks|Rose|Fur Jacket|Honey Skin||Baseball Bat
81|🔴-37|Sobta Magic #373|202.03670524964113|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/373|Common - Charcoal|Fascinated|Red Glasses|Rainbow Sticker|Jojo|Orange Spiky|Triangle|Aloha Shirt|Espresso Skin||Scythe
82|🟡|Sobta Magic #639|201.94416940640878|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/639|Rare - Apezilon|Normal|Diamond Glasses|None|Poppo|Pink Side Braid|Bubble Gum|White Overalls|Milk Tea Skin||Baseball Bat
83|🔴-30|Sobta Magic #420|201.45279201292638|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/420|Rare - Morest|Bored|None|None|Kabo|Blonde Double Braid|Strawberry Stick|Aloha Shirt|Aqua Mutant||Syringe
84|🔴-38|Sobta Magic #225|201.319353813524|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/225|Rare - Morest|Normal|Heart Glasses|None|Miw Miw|Blonde-Brown Man Bun|Grin|Barista Suit|Milk Skin||Syringe
85|🔴-28|Sobta Magic #88|201.01920268568745|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/88|Rare - Earth|Surprised|None|Tattoo|Florae|Red Helmet|Bubble Gum|Barista Suit|Vanilla Ape||Water Staff
86|🔴-8|Sobta Magic #252|199.4246087136927|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/252|Common - Lemon|Happy|None|Sobta Sticker|None|Pink Inverted Bob|Choco Donut|Adventure Suit|Lava Mutant||Laser Gun
87|🟡|Sobta Magic #657|199.3633179041001|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/657|Rare - Earth|Surprised|Gold Monocle|None|Miw Miw|Black Bucket Hat|Open Smile|Denim Shirt|Fire Cyborg||Coffee Cup
88|🔴-8|Sobta Magic #201|199.10690481068778|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/201|Rare - Day Dream|Angry|Scounter|None|Volcan|Black Comma|Bread|Business Suit|Almond Skin||Bunching Onion
89|🔴-31|Sobta Magic #522|199.05860665273323|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/522|Rare - Day Dream|Wink|Sunglasses|None|Jojo|Red Helmet|Rose|Hoodie|Milk Tea Skin||Scythe
90|🟡|Sobta Magic #659|198.6373277214344|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/659|Common - Lemon|Angry|Scounter|None|None|Red Helmet|Strawberry Stick|White Overalls|Ice Cyborg||Nature Staff
91|🔴-46|Sobta Magic #229|197.20373270205715|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/229|Rare - Apezilon|Wink|Gold Glasses|None|Florae|Brown Palm Tree|Leaf|School Uniform|Chocolate Skin||Wrench
92|🔴-18|Sobta Magic #445|196.00905505974544|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/445|Rare - Night Dream|Bored|None|Rainbow Sticker|Volcan|Black Dreadlocks|Smirk|Black Overalls|Almond Skin||Water Staff
93|🔴-44|Sobta Magic #308|195.77244704926687|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/308|Common - Taro Milk|Surprised|Gold Monocle|Star Sticker|Alpha|Blonde-Brown Man Bun|Strawberry Stick|Sci-Fi Suit|Espresso Skin||Fountain Pen
94|🟡|Sobta Magic #706|195.33463752548874|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/706|Rare - Earth|Normal|Sunglasses|None|Poppo|Orange Spiky|Bubble Gum|Pink Overalls|Aqua Mutant||Fountain Pen
95|🟢+1|Sobta Magic #44|194.7132101455034|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/44|Rare - Cybertron|Happy|Red Glasses|Pain Relief Patch|Volcan|Red Ponytail|Smirk|White Overalls|Milk Tea Skin||Fountain Pen
96|🔴-27|Sobta Magic #228|194.27641996172207|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/228|Common - Taro Milk|Sad|Diamond Glasses|None|Volcan|Blonde Double Braid|Bread|Adventure Suit|Milk Skin||Fountain Pen
97|🟡|Sobta Magic #592|194.11823742016617|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/592|Common - Sunset|Normal|Sunglasses|Rainbow Sticker|Marine|Blue Double Braid|Tongue Out|Black Jacket|Earth Mutant||Fountain Pen
98|🔴-42|Sobta Magic #135|193.87513939673804|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/135|Rare - Night Dream|Normal|None|Tattoo|Marine|Captain Girl|Tongue Out|Fur Jacket|Aqua Mutant||Bunching Onion
99|🔴-29|Sobta Magic #356|193.28942001696507|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/356|Rare - Morest|Fascinated|Sunglasses|None|Alpha|White Bucket Hat|Triangle|Black Jacket|Honey Skin||Coffee Cup
100|🔴-16|Sobta Magic #425|192.82343506774046|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/425|Rare - Night Dream|Surprised|Gold Monocle|None|Volcan|White Bubble|Bread|Barista Suit|Lava Mutant||Coffee Cup
101|🟡|Sobta Magic #695|192.54956713767305|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/695|Rare - Day Dream|Angry|Gold Monocle|None|Florae|Violet Ponytail|Grumpy|Fur Jacket|Almond Skin||Scythe
102|🔴-41|Sobta Magic #114|192.5114407527838|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/114|Common - Sky|Happy|None|None|Florae|Pink Side Braid|Rose|Adventure Suit|Milk Skin||Syringe
103|🟢+11|Sobta Magic #526|191.74421766607884|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/526|Rare - Cybertron|Angry|None|None|Volcan|Blonde Dreadlocks|Grin|School Uniform|Milk Tea Skin||Guitar
104|🔴-3|Sobta Magic #92|191.64299399953794|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/92|Rare - Cybertron|Fascinated|None|None|Miw Miw|Red Ponytail|Smile|Business Suit|Milk Tea Skin||Bunching Onion
105|🔴-29|Sobta Magic #394|191.49061842377557|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/394|Common - Sky|Sad|Scounter|Pain Relief Patch|None|Captain Boy|Open Smile|White T-Shirt|Earth Mutant||Laser Gun
